Grouping,Species Name (Common),Scientific Name,Lead FWS Regional Office,Proposed FWS Decision Timeframe (Fiscal Year),Range
Amphibians,streamside salamander,Ambystoma barbouri,Region 4 - Southeast,2023,"AL, KY, OH, TN, WV"
Amphibians,Boreal toad (Eastern population),Anaxyrus boreas boreas,Region 6 - Mountain-Prairie,2017,"CO, ID, NM, NV, UT, WY"
Amphibians,Inyo Mountains slender salamander,Batrachoseps campi,Region 8 - Pacific Southwest,2021,CA
Amphibians,lesser slender salamander,Batrachoseps minor,Region 8 - Pacific Southwest,2019,CA
Amphibians,relictual slender salamander,Batrachoseps relictus,Region 8 - Pacific Southwest,2023,CA
Amphibians,Kern Plateau salamander,Batrachoseps robustus,Region 8 - Pacific Southwest,2021,CA
Amphibians,Kern Canyon slender salamander,Batrachoseps simatus,Region 8 - Pacific Southwest,2021,CA
Amphibians,Oregon slender salamander,Batrachoseps wrighti,Region 1 - Pacific (Northwest),2020,"OR, WA"
Amphibians,Arizona toad,Bufo microscaphus microscaphus,Region 2 - Southwest,2022,"AZ, CA, NM, NV, UT"
Amphibians,hellbender,Cryptobranchus alleganiensis,Region 3 - Midwest,2018,"AL, AR, GA, IL, IN, KY, MD, MO, MS, NC, NY, OH, PA, SC, TN, VA, WV"
Amphibians,Cascade Caverns salamander,Eurycea latitans,Region 2 - Southwest,2021,TX
Amphibians,Texas salamander,Eurycea nana,Region 2 - Southwest,2021,TX
Amphibians,Blanco blind salamander,Eurycea robusta,Region 2 - Southwest,2021,TX
Amphibians,Comal Springs salamander,Eurycea sp.,Region 2 - Southwest,2021,TX
Amphibians,Comal blind salamander,Eurycea tridentifera,Region 2 - Southwest,2021,TX
Amphibians,Oklahoma salamander,Eurycea tynerensis,Region 4 - Southeast,2020,"OK, MO, AR"
Amphibians,Berry Cave Salamander,Gyrinophilus gulolineatus,Region 4 - Southeast,2019,TN
Amphibians,Tennessee Cave salamander,Gyrinophilus palleucus,Region 4 - Southeast,2023,"AL, GA, TN"
Amphibians,West Virginia spring salamander,Gyrinophilus subterraneus,Region 5 - Northeast,2020,WV
Amphibians,Georgia blind salamander,Haideotriton wallacei,Region 4 - Southeast,2023,"FL, GA"
Amphibians,limestone salamander,Hydromantes brunus,Region 8 - Pacific Southwest,2023,CA
Amphibians,Shasta salamander,Hydromantes shastae,Region 8 - Pacific Southwest,2022,CA
Amphibians,Neuse River waterdog,Necturus lewisi,Region 4 - Southeast,2017,NC
Amphibians,striped newt,Notophthalmus perstriatus,Region 4 - Southeast,2018,"FL, GA"
Amphibians,Peaks of Otter salamander,Plethodon hubrichti,Region 5 - Northeast,2023,VA
Amphibians,Illinois chorus frog,Pseudacris illinoensis,Region 3 - Midwest,2021,"AR, IL, MO"
